HOL,TSB
0,
1,13.7
2,13.9
3,14
4,14.1
5,14.3
6,14.4
7,14.5
8,14.7
9,14.8
10,14.9
11,15.1
12,15.2
13,15.3
14,15.4
15,15.6
16,15.7
17,15.8
18,15.9
19,16.1
20,16.2
21,16.3
22,16.3
23,16.4
24,16.6
25,16.8
26,16.9
27,17
28,17.1
29,17.2
30,17.3
31,17.4
32,17.5
33,17.6
34,17.7
35,17.8
36,17.9
37,18
38,18.1
39,18.2
40,18.3
41,18.4
42,18.5
43,18.6
44,18.7
45,18.8
46,18.8
47,18.9
48,19.1
49,19.2
50,19.2
51,19.3
52,19.4
53,19.5
54,19.6
55,19.7
56,19.7
57,19.8
58,19.9
59,20
60,20.1
61,20.1
62,20.2
63,20.3
64,20.3
65,20.4
66,20.5
67,20.6
68,20.6
69,20.7
70,20.7
71,20.8
72,20.9
73,20.9
74,21
75,21.1
76,21.1
77,21.2
78,21.2
79,21.3
80,21.4
81,21.4
82,21.5
83,21.5
84,21.6
85,21.6
86,21.7
87,21.7
88,21.8
89,21.8
90,21.9
91,21.9
92,22
93,22
94,22
95,22
96,22.1
97,22.1
98,22.1
99,22.1
100,22.1
101,22.1
102,22.1
103,22.1
104,22.1
105,22.1
106,22.2
107,22.2
108,22.2
109,22.2
110,22.2
111,22.2
112,22.2
113,22.2
114,22.2
115,22.2
116,22.2
117,22.2
118,22.2
119,22.3
120,22.3
121,22.3
122,22.3
123,22.3
124,22.3
125,22.3
126,22.3
127,22.3
128,22.3
129,22.3
130,22.3
131,22.4
132,22.4
133,22.4
134,22.4
135,22.4
136,22.4
137,22.4
138,22.4
139,22.4
140,22.4
141,22.4
142,22.4
143,22.4
144,22.5
145,22.5
146,22.5
147,22.5
148,22.5
149,22.5
150,22.5
151,22.5
152,22.5
153,22.5
154,22.5
155,22.5
156,22.5
157,22.5
158,22.6
159,22.6
160,22.6
161,22.6
162,22.6
163,22.6
164,22.6
165,22.6
166,22.6
167,22.6
168,22.6
169,22.6
170,22.6
171,22.6
172,22.7
173,22.7
174,22.7
175,22.7
176,22.7
177,22.7
178,22.7
179,22.7
180,22.7
181,22.7
182,22.7
183,22.7
184,22.7
185,22.7
186,22.7
187,22.8
188,22.8
189,22.8
190,22.8
191,22.8
192,22.8
193,22.8
194,22.8
195,22.8
196,22.8
197,22.8
198,22.8
199,22.8
200,22.8
201,22.8
202,22.8
203,22.9
204,22.9
205,22.9
206,22.9
207,22.9
208,22.9
209,22.9
210,22.9
211,22.9
212,22.9
213,22.9
214,22.9
215,22.9
216,22.9
217,22.9
218,22.9
219,23
220,23
221,23
222,23
223,23
224,23
225,23
226,23
227,23
228,23
229,23
230,23
231,23
232,23
233,23
234,23
235,23
236,23
237,23.1
238,23.1
239,23.1
240,23.1
241,23.1
242,23.1
243,23.1
244,23.1
245,23.1
246,23.1
247,23.1
248,23.1
249,23.1
250,23.1
251,23.1
252,23.1
253,23.1
254,23.1
255,23.2
256,23.2
257,23.2
258,23.2
259,23.2
260,23.2
261,23.2
262,23.2
263,23.2
264,23.2
265,23.2
266,23.2
267,23.2
268,23.2
269,23.2
270,23.2
271,23.2
272,23.2
273,23.2
274,23.2
275,23.3
276,23.3
277,23.3
278,23.3
279,23.3
280,23.3
281,23.3
282,23.3
283,23.3
284,23.3
285,23.3
286,23.3
287,23.3
288,23.3
289,23.3
290,23.3
291,23.3
292,23.3
293,23.3
294,23.3
295,23.3
296,23.3
297,23.4
298,23.4
299,23.4
300,23.4
301,23.4
302,23.4
303,23.4
304,23.4
305,23.4
306,23.4
307,23.4
308,23.4
309,23.4
310,23.4
311,23.4
312,23.4
313,23.4
314,23.4
315,23.4
316,23.4
317,23.4
318,23.4
319,23.4
320,23.4
321,23.4
322,23.5
323,23.5
324,23.5
325,23.5
326,23.5
327,23.5
328,23.5
329,23.5
330,23.5
331,23.5
332,23.5
333,23.5
334,23.5
335,23.5
336,23.5
