HOL,TSB
0,
1,8.9
2,9.1
3,9.3
4,9.6
5,9.8
6,10
7,10.2
8,10.4
9,10.5
10,10.7
11,10.9
12,11.1
13,11.3
14,11.5
15,11.7
16,11.9
17,12.1
18,12.2
19,12.4
20,12.6
21,12.7
22,12.8
23,13
24,13.3
25,13.5
26,13.6
27,13.8
28,14
29,14.1
30,14.3
31,14.5
32,14.6
33,14.8
34,15
35,15.1
36,15.3
37,15.4
38,15.6
39,15.7
40,15.9
41,16
42,16.2
43,16.3
44,16.4
45,16.5
46,16.6
47,16.7
48,17
49,17.1
50,17.3
51,17.4
52,17.5
53,17.7
54,17.8
55,17.9
56,18
57,18.2
58,18.3
59,18.4
60,18.5
61,18.6
62,18.8
63,18.9
64,19
65,19.1
66,19.2
67,19.3
68,19.4
69,19.5
70,19.6
71,19.7
72,19.8
73,19.9
74,20
75,20.1
76,20.2
77,20.3
78,20.4
79,20.5
80,20.6
81,20.7
82,20.7
83,20.8
84,20.9
85,21
86,21.1
87,21.1
88,21.2
89,21.3
90,21.4
91,21.4
92,21.5
93,21.6
94,21.6
95,21.6
96,21.8
97,21.8
98,21.8
99,21.8
100,21.8
101,21.8
102,21.8
103,21.8
104,21.8
105,21.8
106,21.8
107,21.8
108,21.8
109,21.8
110,21.8
111,21.8
112,21.8
113,21.8
114,21.8
115,21.8
116,21.8
117,21.8
118,21.8
119,21.8
120,21.8
121,21.8
122,21.8
123,21.8
124,21.8
125,21.8
126,21.8
127,21.8
128,21.8
129,21.8
130,21.8
131,21.8
132,21.8
133,21.8
134,21.8
135,21.8
136,21.8
137,21.8
138,21.8
139,21.8
140,21.8
141,21.8
142,21.8
143,21.8
144,21.8
145,21.8
146,21.8
147,21.8
148,21.8
149,21.8
150,21.8
151,21.8
152,21.8
153,21.8
154,21.8
155,21.8
156,21.8
157,21.8
158,21.8
159,21.8
160,21.8
161,21.8
162,21.8
163,21.8
164,21.8
165,21.8
166,21.8
167,21.8
168,21.8
169,21.8
170,21.8
171,21.8
172,21.8
173,21.8
174,21.8
175,21.8
176,21.8
177,21.8
178,21.8
179,21.8
180,21.8
181,21.8
182,21.8
183,21.8
184,21.8
185,21.8
186,21.8
187,21.8
188,21.8
189,21.8
190,21.8
191,21.8
192,21.8
193,21.8
194,21.8
195,21.8
196,21.8
197,21.8
198,21.8
199,21.8
200,21.8
201,21.8
202,21.8
203,21.8
204,21.8
205,21.8
206,21.8
207,21.8
208,21.8
209,21.8
210,21.8
211,21.8
212,21.8
213,21.8
214,21.8
215,21.8
216,21.8
217,21.8
218,21.8
219,21.8
220,21.8
221,21.8
222,21.8
223,21.8
224,21.8
225,21.8
226,21.8
227,21.8
228,21.8
229,21.8
230,21.8
231,21.8
232,21.8
233,21.8
234,21.8
235,21.8
236,21.8
237,21.8
238,21.8
239,21.8
240,21.8
241,21.8
242,21.8
243,21.8
244,21.8
245,21.8
246,21.8
247,21.8
248,21.8
249,21.8
250,21.8
251,21.8
252,21.8
253,21.8
254,21.8
255,21.8
256,21.8
257,21.8
258,21.8
259,21.8
260,21.8
261,21.8
262,21.8
263,21.8
264,21.8
265,21.8
266,21.8
267,21.8
268,21.8
269,21.8
270,21.8
271,21.8
272,21.8
273,21.8
274,21.8
275,21.8
276,21.8
277,21.8
278,21.8
279,21.8
280,21.8
281,21.8
282,21.8
283,21.8
284,21.8
285,21.8
286,21.8
287,21.8
288,21.8
289,21.8
290,21.8
291,21.8
292,21.8
293,21.8
294,21.8
295,21.8
296,21.8
297,21.8
298,21.8
299,21.8
300,21.8
301,21.8
302,21.8
303,21.8
304,21.8
305,21.8
306,21.8
307,21.8
308,21.8
309,21.8
310,21.8
311,21.8
312,21.8
313,21.8
314,21.8
315,21.8
316,21.8
317,21.8
318,21.8
319,21.8
320,21.8
321,21.8
322,21.8
323,21.8
324,21.8
325,21.8
326,21.8
327,21.8
328,21.8
329,21.8
330,21.8
331,21.8
332,21.8
333,21.8
334,21.8
335,21.8
336,21.8
